sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
ANN1201,0.015880887,-0.004950915,0.064642232,-0.078102407,-0.047440757,-0.017316093,0.045012577,Wild,OK
ANN1202,0.029125098,-0.006166083,0.072382439,-0.076393083,-0.044779964,-0.016775141,0.041678491,Wild,OK
ANN1203,0.041088959,-0.013212179,0.063657817,-0.066670668,-0.035250835,-0.011991279,0.027170564,Wild,OK
ANN1204,0.030820348,-0.009544613,0.072635986,-0.077404646,-0.049360166,-0.015506401,0.038275766,Wild,OK
ANN1205,0.023132554,-0.00690639,0.062753504,-0.073745142,-0.035604516,-0.01525124,0.040287839,Wild,OK
ANN1206,0.025605448,-0.004409544,0.074700189,-0.081058973,-0.043730655,-0.012871821,0.048698413,Wild,OK
ANN1207,0.019109108,-0.008453737,0.053902041,-0.063916573,-0.032863056,-0.011598216,0.035169064,Wild,OK
ANN1208,0.013731371,-0.008211676,0.072337959,-0.081723183,-0.048810973,-0.017182335,0.042115944,Wild,OK
ANN1209,0.024296017,-0.007410256,0.046455846,-0.057846797,-0.022203478,-0.005046419,0.020239576,Wild,OK
ANN1210,0.003045416,-0.005613915,0.048225885,-0.067523302,-0.031644612,-0.011894106,0.035195439,Wild,OK
ANN1216,0.036596339,0.016650575,0.04214324,-0.067344067,-0.012466404,0.00572475,0.02387994,Wild,TX
ANN1218,0.046931104,0.016534185,0.047715532,-0.069354977,-0.01994025,0.006244519,0.026682779,Wild,TX
ANN1219,0.03677779,0.014519739,0.043126414,-0.069054053,-0.016134042,0.00873922,0.011052869,Wild,TX
Ann1238_subset,0.048191479,-0.025745285,0.019945157,0.022256827,0.012013892,0.00267208,0.022167602,Wild,NB
ANN1260,0.066633184,0.043132508,-0.184752877,-0.018679038,-0.158667115,-0.001127591,0.023052255,Wild,CA_NV_AZ
ANN1268,0.06436582,0.052739391,-0.129844204,-0.059623609,-0.054687261,-0.00029897,-0.03997919,Wild,CA_NV_AZ
