sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
ANN1296,0.057852509,-0.06845201,0.011673159,0.107727597,-0.053970744,-0.044335638,0.138345279,Wild,NM,CO_UT_NM
ANN1297,0.047985496,-0.06048476,0.013607617,0.102118851,-0.06814312,-0.045072911,0.141067151,Wild,NM,CO_UT_NM
ANN1300,0.032006199,-0.063943916,0.008197407,0.089554835,-0.047366183,-0.039311361,0.115253115,Wild,NM,CO_UT_NM
ANN1301,0.06745948,-0.041420313,0.016749025,0.166118047,-0.155494019,0.000691461,0.18434295,Wild,NM,CO_UT_NM
ANN1309,0.060473518,-0.045423806,0.013998853,0.175573106,-0.167754242,-0.001806334,0.208967357,Wild,NM,CO_UT_NM
ANN1310,0.091623704,-0.045724006,0.017440848,0.19173663,-0.188934434,0.006855217,0.214817573,Wild,NM,CO_UT_NM
ANN1311,0.068459591,-0.042223257,0.074289973,0.089179376,0.059214343,-0.410886791,-0.246333086,Wild,TX,TX
ANN1316,0.072946121,-0.042854068,0.075880552,0.09579544,0.064183102,-0.435944909,-0.264774623,Wild,TX,TX
ANN1319,0.079633561,-0.039269156,0.072534545,0.08974407,0.056523021,-0.401544056,-0.235774728,Wild,TX,TX
ANN1322,0.056468773,-0.030695779,0.057842572,0.05877988,0.026355765,-0.204254773,-0.074124917,Wild,TX,TX
ANN1328,0.046660617,-0.032935537,0.061002848,0.051315965,0.032288981,-0.190987983,-0.060102895,Wild,TX,TX
ANN1330,0.048826382,-0.041450366,0.061069427,0.055560395,0.040780583,-0.200688183,-0.062020787,Wild,TX,TX
ANN1419,-0.001603343,0.063888728,0.022529267,-0.055477148,-0.083191201,0.048533545,-0.094569474,Wild,IA,IA
ANN1420,-0.007230354,0.040251109,0.015786129,-0.028731413,-0.032323044,0.025033466,-0.038109622,Wild,IA,IA
ANN1439,0.008426411,0.044234598,0.042707087,-0.025489236,-0.007431557,0.020397318,0.007493358,Wild,KS,KS
ANN1501,-0.04850482,0.064613218,-0.110218184,-0.010057319,-0.042395512,-0.07899222,0.05498961,Wild,SK,SK_MB
ann20_seAZ,-0.072341329,-0.076021473,-0.00249013,0.02120111,-0.002115005,-0.023773117,0.058527035,Wild,AZ,CA_NV_AZ
ann28_swSK,-0.08820039,-0.016957838,-0.041033596,0.019862677,0.013923616,-0.01436414,0.016482469,Wild,SK,SK_MB
ann29_neSD,-0.053610878,0.02379372,-0.04147378,-0.001150512,-0.014768637,-0.022346723,0.016737547,Wild,SD,ND_SD
ann34_cwKS,-0.040034743,-0.011336214,0.011352647,0.016159152,0.025160539,-0.004973418,0.015840518,Wild,KS,KS
ann39_ncNE,-0.072667559,-0.03040465,-0.022247962,0.001254932,0.004637354,-0.005562204,0.011290849,Wild,NB,NB
Anzac_Pueblo,-0.162572938,-0.09507747,0.019183078,0.049082925,0.016301334,0.028014817,-0.044308304,Landrace,Landrace,Landrace
Ari_Broad,-0.12904535,-0.055742513,-0.004970427,0.035045398,0.009593067,0.013729992,-0.024748656,Ethnographic,Ethnographic,Ethnographic
Ari_Man,-0.075729345,-0.003843022,-0.010534287,0.00832925,-0.010679479,0.011917532,-0.02456524,Ethnographic,Ethnographic,Ethnographic
Arikara,-0.136168695,-0.068121902,0.010160731,0.038176296,0.009668514,0.018236772,-0.031523948,Landrace,Landrace,Landrace
